date,feature_index,NO2
2026-03-03T00:00:00.000Z,0,5.388364936467896E-5
2026-03-05T00:00:00.000Z,0,2.7458321919154444E-5
2026-03-06T00:00:00.000Z,0,2.803966685893154E-5
2026-03-02T00:00:00.000Z,0,6.41027761065953E-5
2026-03-01T00:00:00.000Z,0,3.253467464743993E-5
2026-03-04T00:00:00.000Z,0,3.354619794568346E-5
2026-02-28T00:00:00.000Z,0,3.829107724081601E-5
2026-03-07T00:00:00.000Z,0,5.43654137415545E-5
2026-07-21T00:00:00.000Z,0,2.3923456446937052E-5
2026-07-15T00:00:00.000Z,0,1.863413089290034E-5
2026-07-20T00:00:00.000Z,0,2.106210591922387E-5
2026-07-17T00:00:00.000Z,0,2.893805653594575E-5
2026-07-16T00:00:00.000Z,0,2.317681961836046E-5
2026-07-14T00:00:00.000Z,0,1.575743083941978E-5
2026-07-19T00:00:00.000Z,0,1.806789728456911E-5
2026-07-18T00:00:00.000Z,0,2.369726492880935E-5
2025-10-11T00:00:00.000Z,0,3.643354888639104E-5
2025-10-12T00:00:00.000Z,0,5.244428160110076E-5
2025-10-14T00:00:00.000Z,0,5.995151308735121E-5
2025-10-09T00:00:00.000Z,0,5.488086529532246E-5
2025-10-13T00:00:00.000Z,0,4.708296898320441E-5
2025-10-10T00:00:00.000Z,0,3.525060600895813E-5
2025-10-07T00:00:00.000Z,0,6.0845302982670546E-5
2025-10-08T00:00:00.000Z,0,6.74063343117618E-5
2025-11-30T00:00:00.000Z,0,3.962973749502488E-5
2025-11-26T00:00:00.000Z,0,6.647155489470326E-5
2025-11-25T00:00:00.000Z,0,4.591875347859269E-5
2025-11-28T00:00:00.000Z,0,3.395918886851107E-5
2025-11-29T00:00:00.000Z,0,5.0335363891043435E-5
2025-12-01T00:00:00.000Z,0,6.235431099351164E-5
2025-11-27T00:00:00.000Z,0,3.174294840287299E-5
2025-11-24T00:00:00.000Z,0,6.760769526713135E-5
2026-02-04T00:00:00.000Z,0,5.2087194182184666E-5
2026-02-05T00:00:00.000Z,0,5.2078397098179824E-5
2026-02-11T00:00:00.000Z,0,3.597831987288093E-5
2026-02-06T00:00:00.000Z,0,8.512443196020915E-5
2026-02-09T00:00:00.000Z,0,3.1799159650675463E-5
2026-02-07T00:00:00.000Z,0,1.1467821372417138E-4
2026-02-08T00:00:00.000Z,0,1.2580890741166793E-4
2026-02-10T00:00:00.000Z,0,3.757531787216437E-5
2026-06-13T00:00:00.000Z,0,2.036129809452037E-5
2026-06-16T00:00:00.000Z,0,1.3818519110988264E-5
2026-06-15T00:00:00.000Z,0,1.253131255136708E-5
2026-06-19T00:00:00.000Z,0,2.0757886319321906E-5
2026-06-18T00:00:00.000Z,0,1.3105043347948578E-5
2026-06-14T00:00:00.000Z,0,1.3717188367042031E-5
2026-06-17T00:00:00.000Z,0,1.953842849272061E-5
2026-06-12T00:00:00.000Z,0,1.885960631573023E-5
2025-09-20T00:00:00.000Z,0,2.4834545475230648E-5
2025-09-16T00:00:00.000Z,0,1.6532817733150294E-5
2025-09-18T00:00:00.000Z,0,2.4822415997721094E-5
2025-09-15T00:00:00.000Z,0,1.6964228468924672E-5
2025-09-14T00:00:00.000Z,0,2.5944945817965134E-5
2025-09-19T00:00:00.000Z,0,2.114524629024966E-5
2025-09-13T00:00:00.000Z,0,2.6121484698806955E-5
2025-09-17T00:00:00.000Z,0,2.6484843853527957E-5
2025-11-20T00:00:00.000Z,0,9.135248968644961E-5
2025-11-19T00:00:00.000Z,0,7.625202968892626E-5
2025-11-17T00:00:00.000Z,0,8.655205671787441E-5
2025-11-22T00:00:00.000Z,0,8.966586794262919E-5
2025-11-23T00:00:00.000Z,0,7.63357291851627E-5
2025-11-18T00:00:00.000Z,0,6.54021049474916E-5
2025-11-21T00:00:00.000Z,0,8.041630123723455E-5
2025-11-16T00:00:00.000Z,0,5.75409527685294E-5
2026-07-09T00:00:00.000Z,0,2.0615164438615402E-5
2026-07-10T00:00:00.000Z,0,1.8158831612948377E-5
2026-07-07T00:00:00.000Z,0,3.667109012522054E-5
2026-07-08T00:00:00.000Z,0,3.0950866920616606E-5
2026-07-11T00:00:00.000Z,0,1.988115275578041E-5
2026-07-13T00:00:00.000Z,0,2.243004717221934E-5
2026-07-06T00:00:00.000Z,0,3.9846884928741854E-5
2026-07-12T00:00:00.000Z,0,1.7546378565443334E-5
2026-03-19T00:00:00.000Z,0,3.165976780090862E-5
2026-03-16T00:00:00.000Z,0,3.961825795718491E-5
2026-03-21T00:00:00.000Z,0,3.548209056427896E-5
2026-03-22T00:00:00.000Z,0,3.579924401782996E-5
2026-03-23T00:00:00.000Z,0,3.805856460052477E-5
2026-03-20T00:00:00.000Z,0,3.797450131978272E-5
2026-03-17T00:00:00.000Z,0,6.671696215265071E-5
2026-03-18T00:00:00.000Z,0,9.798516783540926E-5
2026-01-17T00:00:00.000Z,0,5.2823422935938854E-5
2026-01-15T00:00:00.000Z,0,4.333793480329772E-5
2026-01-11T00:00:00.000Z,0,6.700525304337973E-5
2026-01-14T00:00:00.000Z,0,1.0152646572954522E-4
2026-01-13T00:00:00.000Z,0,8.375979764434993E-5
2026-01-16T00:00:00.000Z,0,3.145751244362474E-5
2026-01-18T00:00:00.000Z,0,7.68385764063387E-5
2026-01-12T00:00:00.000Z,0,1.0002583452127021E-4
2025-09-03T00:00:00.000Z,0,3.372916547819981E-5
2025-09-04T00:00:00.000Z,0,3.4794518839145556E-5
2025-09-02T00:00:00.000Z,0,2.2689332269822315E-5
2025-08-29T00:00:00.000Z,0,2.6229427409031235E-5
2025-08-30T00:00:00.000Z,0,3.460532828704835E-5
2025-08-28T00:00:00.000Z,0,2.6150731740087325E-5
2025-08-31T00:00:00.000Z,0,2.219049561428891E-5
2025-09-01T00:00:00.000Z,0,1.479916821923465E-5
2026-05-02T00:00:00.000Z,0,2.3709517766362228E-5
2026-04-26T00:00:00.000Z,0,2.182063291054594E-5
2026-04-25T00:00:00.000Z,0,2.9667150451692018E-5
2026-05-01T00:00:00.000Z,0,1.7674467434024823E-5
2026-04-27T00:00:00.000Z,0,2.4762002479405964E-5
2026-04-29T00:00:00.000Z,0,3.54226142644183E-5
2026-04-30T00:00:00.000Z,0,2.7813805362396895E-5
2026-04-28T00:00:00.000Z,0,3.0086903913028296E-5
2026-08-10T00:00:00.000Z,0,2.4348504023868115E-5
2026-08-07T00:00:00.000Z,0,2.5764297536871198E-5
2026-08-09T00:00:00.000Z,0,2.6905689569153207E-5
2026-08-08T00:00:00.000Z,0,3.190345905882742E-5
2026-08-13T00:00:00.000Z,0,3.208281794206494E-5
2026-08-12T00:00:00.000Z,0,3.4431228694022415E-5
2026-08-11T00:00:00.000Z,0,2.6592119537680344E-5
2026-08-14T00:00:00.000Z,0,2.612882248545897E-5
2025-10-18T00:00:00.000Z,0,7.619719028578122E-5
2025-10-19T00:00:00.000Z,0,5.172796423511709E-5
2025-10-22T00:00:00.000Z,0,5.0943554497979884E-5
2025-10-16T00:00:00.000Z,0,6.943368795103967E-5
